date of birth;age;sex;account;id;issued;active;payroll;segment
08.09.1940;76;Female;Long life deposit;01-0102-D-77792953;1;0;0;Retired
21.11.1967;49;Male;Long life deposit;01-0102-D-77789599;1;0;0;Workers
26.08.1958;58;Female;Long life deposit;01-0165-D-77799637;1;0;0;Retired
23.07.1951;65;Female;Long life deposit;01-0165-D-77796328;1;0;0;Retired
11.09.1954;62;Female;Long life deposit;01-0102-D-77797635;1;0;1;Retired
12.09.1964;52;Male;Long life deposit;01-0102-D-77801036;1;0;0;Workers
15.08.1961;55;Male;Long life deposit;01-0102-D-77800760;1;0;1;Workers
01.01.1947;70;Male;Long life deposit;01-0102-D-77799989;1;0;0;Retired
23.03.1949;67;Female;Long life deposit;01-0165-D-77798692;1;0;0;Retired
22.08.1954;62;Male;Long life deposit;01-0102-D-77788876;1;0;0;Retired
07.01.1941;76;Female;Long life deposit;01-0102-D-77796300;1;1;0;Retired
02.05.1950;66;Male;Long life deposit;01-0102-D-77796746;1;0;1;Retired
18.07.1943;73;Male;Long life deposit;01-0102-D-77795291;1;0;1;Retired
18.12.1941;75;Male;Long life deposit;01-0102-D-77800883;1;0;0;Retired
29.11.1956;60;Female;Long life deposit;01-0102-D-77791065;1;0;0;Retired
01.08.1931;85;Female;Long life deposit;01-0102-D-77790457;1;0;0;Retired
06.09.1955;61;Male;Long life deposit;01-0102-D-77795297;1;0;0;Retired
27.05.1961;55;Female;Long life deposit;01-0102-F-5348488;1;1;1;Retired
24.03.1961;55;Female;Long life deposit;01-0102-Z-8022869;1;0;0;Retired
01.01.1949;68;Male;Long life deposit;01-0102-D-77789075;1;0;0;Retired
22.07.1956;60;Male;Long life deposit;01-0102-Z-8020550;1;1;0;Retired
06.03.1964;52;Male;Long life deposit;01-0802-D-77802313;0;0;0;Workers
15.01.1958;59;Female;Long life deposit;01-0102-Z-6989419;1;1;1;Retired
30.09.1947;69;Female;Long life deposit;01-0802-D-77802795;0;0;0;Retired
22.02.1962;55;Female;Long life deposit;01-0802-D-77802801;0;0;0;Retired
04.11.1936;80;Female;Long life deposit;01-0820-D-77800678;0;0;0;Retired
04.02.1983;34;Female;Long life deposit;01-0102-D-77748242;1;0;0;Workers
02.10.1997;19;Male;Long life deposit;01-0165-D-77752359;0;0;0;Students
30.03.1951;65;Female;Long life deposit;01-0102-D-77760778;0;0;0;Retired
02.12.1946;70;Female;Long life deposit;01-0165-F-5320912;1;0;0;Retired
15.10.1947;69;Male;Long life deposit;01-0102-D-77723096;1;1;0;Retired
09.06.1980;36;Female;Long life deposit;01-0102-D-77709282;0;0;0;Workers
18.01.1956;61;Female;Long life deposit;01-0102-D-77712118;1;0;0;Retired
11.10.1955;61;Male;Long life deposit;01-0102-D-77749942;0;0;0;Retired
26.04.1952;64;Male;Long life deposit;01-0102-D-77718834;0;0;1;Retired
31.05.1982;34;Male;Long life deposit;01-0102-D-77742985;0;0;0;Workers
12.01.1953;64;Female;Long life deposit;01-0102-D-77749105;0;0;0;Retired
14.06.1953;63;Female;Long life deposit;01-0165-D-77771104;1;0;0;Retired
27.06.1952;64;Female;Long life deposit;01-0102-D-77749283;0;0;0;Retired
22.01.1956;61;Male;Long life deposit;01-0165-D-77753072;1;0;0;Retired
03.09.1960;56;Male;Long life deposit;01-0102-D-77759169;0;0;0;Workers
25.09.1938;78;Female;Long life deposit;01-0165-D-77759031;1;0;0;Retired
08.09.1948;68;Female;Long life deposit;01-0102-D-77771666;0;0;0;Retired
10.01.1956;61;Female;Long life deposit;01-0165-D-77756135;1;0;0;Retired
18.02.1946;71;Male;Long life deposit;01-0165-F-5347833;1;0;0;Retired
03.10.1965;51;Female;Long life deposit;01-0165-D-77762666;0;0;1;Workers
04.11.1949;67;Male;Long life deposit;01-0102-D-77719637;0;0;0;Retired
12.03.1950;66;Male;Long life deposit;01-0102-D-77735244;0;0;0;Retired
14.10.1951;65;Female;Long life deposit;01-0102-D-77721424;1;0;0;Retired
28.10.1952;64;Female;Long life deposit;01-0102-D-77715403;1;0;0;Retired
04.12.1956;60;Female;Long life deposit;01-0102-D-77715622;0;0;0;Retired
18.01.1938;79;Male;Long life deposit;01-0102-D-77706196;0;0;0;Retired
15.03.1977;39;Male;Long life deposit;01-0102-D-77704890;1;0;0;Workers
25.11.1953;63;Female;Long life deposit;01-0102-D-77751762;0;0;0;Retired
28.06.1960;56;Female;Long life deposit;01-0165-D-77760213;0;0;0;Retired
12.01.1942;75;Female;Long life deposit;01-0102-D-77749608;0;0;0;Retired
13.09.1967;49;Male;Long life deposit;01-0102-D-77750028;0;0;0;Workers
20.03.1983;33;Male;Long life deposit;01-4503-D-77720589;0;0;0;Workers
09.12.1949;67;Male;Long life deposit;01-4512-D-77761791;0;0;0;Retired
15.05.1985;31;Male;Long life deposit;01-0102-D-77708867;1;0;0;Workers
30.01.1970;47;Female;Long life deposit;01-0102-D-77719402;0;0;0;Workers
30.06.1928;88;Female;Long life deposit;01-0102-D-77760713;0;0;0;Retired
24.06.1961;55;Female;Long life deposit;01-0102-D-77767780;0;0;1;Retired
23.06.1994;22;Male;Long life deposit;01-0102-D-77711399;1;0;0;Students
17.08.1950;66;Male;Long life deposit;01-0102-D-77745060;0;0;0;Retired
03.08.1986;30;Female;Long life deposit;01-0102-D-77711702;0;0;0;Workers
28.09.1961;55;Female;Long life deposit;01-0102-D-77771151;1;1;0;Retired
14.03.1956;60;Male;Long life deposit;01-0165-D-77727148;0;0;0;Retired
12.11.1956;60;Female;Long life deposit;01-0102-D-77744582;0;0;0;Retired
10.04.1953;63;Male;Long life deposit;01-0102-D-77753812;1;1;0;Retired
02.03.1962;55;Female;Long life deposit;01-0102-D-77702060;0;0;0;Retired
27.06.1952;64;Female;Long life deposit;01-0165-D-77753589;0;0;0;Retired
12.12.1954;62;Female;Long life deposit;01-0102-D-77711394;0;0;0;Retired
01.01.1932;85;Male;Long life deposit;01-0102-D-77708259;0;0;0;Retired
18.10.1987;29;Female;Long life deposit;01-0102-D-77707034;1;0;0;Workers
29.12.1967;49;Male;Long life deposit;01-0102-D-77719027;0;0;0;Workers
01.01.1951;66;Female;Long life deposit;01-0165-D-77756454;0;0;0;Retired
05.01.1941;76;Female;Long life deposit;01-0102-D-77748593;1;0;0;Retired
26.05.1943;73;Female;Long life deposit;01-0102-D-77723057;0;0;0;Retired
02.01.1957;60;Female;Long life deposit;01-0102-D-77785526;0;0;0;Retired
17.05.1958;58;Female;Long life deposit;01-0165-D-77758668;0;0;0;Retired
28.03.1953;63;Female;Long life deposit;01-0102-D-77710409;0;0;0;Retired
08.06.1978;38;Female;Long life deposit;01-0102-D-77711856;0;0;0;Workers
25.04.1952;64;Female;Long life deposit;01-0102-D-77714451;0;0;0;Retired
30.06.1952;64;Female;Long life deposit;01-0102-D-77750270;0;0;0;Retired
25.11.1950;66;Female;Long life deposit;01-0102-D-77721851;1;0;0;Retired
25.03.1952;64;Male;Long life deposit;01-0165-D-77777469;1;0;0;Retired
10.03.1947;69;Female;Long life deposit;01-3502-D-77721997;1;0;0;Retired
13.05.1947;69;Female;Long life deposit;01-0102-D-77748705;1;1;0;Retired
26.01.1955;62;Female;Long life deposit;01-0165-D-77753428;0;0;0;Retired
05.08.1957;59;Female;Long life deposit;01-0102-D-77749392;0;0;0;Retired
17.05.1951;65;Male;Long life deposit;01-0102-D-77715713;0;0;0;Retired
30.01.1949;68;Female;Long life deposit;01-0165-D-77774317;0;0;0;Retired
27.03.1954;62;Female;Long life deposit;01-0102-D-77718435;1;0;0;Retired
22.11.1946;70;Female;Long life deposit;01-0102-D-77766221;0;0;0;Retired
04.09.1955;61;Female;Long life deposit;01-0102-D-77778472;0;0;0;Retired
09.02.1952;65;Female;Long life deposit;01-4502-D-77757126;0;0;0;Retired
07.11.1957;59;Male;Long life deposit;01-0102-D-77721834;0;0;0;Workers
18.12.1939;77;Female;Long life deposit;01-0165-D-77750237;0;0;0;Retired
25.07.1939;77;Female;Long life deposit;01-0102-F-5323336;1;0;0;Retired
11.05.1987;29;Female;Long life deposit;01-0165-D-77747313;0;0;0;Workers
13.05.1953;63;Female;Long life deposit;01-0165-D-77762163;0;0;0;Retired
23.01.1952;65;Male;Long life deposit;01-0102-D-77715959;1;0;1;Retired
08.04.1960;56;Female;Long life deposit;01-0102-D-77746652;0;0;0;Retired
22.03.1944;72;Female;Long life deposit;01-0165-F-5342578;1;0;0;Retired
15.08.1957;59;Male;Long life deposit;01-0102-D-77728567;0;0;0;Workers
10.02.1961;56;Female;Long life deposit;01-0165-D-77758621;0;0;0;Retired
04.05.1961;55;Female;Long life deposit;01-0102-D-77755616;0;0;0;Retired
26.09.1949;67;Male;Long life deposit;01-4568-D-77707768;0;0;0;Retired
12.06.1953;63;Male;Long life deposit;01-0165-D-77785589;0;0;0;Retired
06.09.1945;71;Male;Long life deposit;01-0102-D-77720116;1;0;0;Retired
19.11.1952;64;Female;Long life deposit;01-0102-D-77758450;0;0;0;Retired
04.02.1960;57;Female;Long life deposit;01-0102-D-77730930;0;0;0;Retired
20.03.1959;57;Female;Long life deposit;01-0102-D-77744570;0;0;1;Retired
20.01.1940;77;Female;Long life deposit;01-0102-D-77754976;0;0;0;Retired
04.03.1954;62;Female;Long life deposit;01-0165-D-77781505;0;0;0;Retired
29.04.1948;68;Female;Long life deposit;01-0102-D-77749673;1;0;0;Retired
08.06.1938;78;Male;Long life deposit;01-0102-D-77742238;0;0;0;Retired
28.11.1950;66;Male;Long life deposit;01-0165-F-5322209;1;1;0;Retired
23.11.1951;65;Female;Long life deposit;01-0102-D-77741129;0;0;0;Retired
15.01.1953;64;Female;Long life deposit;01-0102-D-77743623;1;0;0;Retired
19.11.1963;53;Female;Long life deposit;01-0102-D-77753692;0;0;0;Workers
18.03.1967;49;Male;Long life deposit;01-0102-D-77741401;0;0;0;Workers
10.04.1956;60;Male;Long life deposit;01-0102-D-77762459;1;0;0;Retired
19.09.1947;69;Female;Long life deposit;01-0165-D-77759358;0;0;1;Retired
27.08.1986;30;Female;Long life deposit;01-0102-D-77702746;0;0;0;Workers
08.07.1987;29;Male;Long life deposit;01-0165-D-77725274;1;1;0;Workers
01.01.1940;77;Male;Long life deposit;01-0102-D-77748920;0;0;0;Retired
29.09.1952;64;Female;Long life deposit;01-0102-D-77717733;0;0;0;Retired
27.07.1983;33;Female;Long life deposit;01-0102-D-77706162;0;0;0;Workers
26.02.1949;68;Female;Long life deposit;01-0165-D-77756754;1;0;0;Retired
28.10.1959;57;Female;Long life deposit;01-0102-D-77743250;1;0;0;Retired
30.03.1931;85;Male;Long life deposit;01-0102-D-77768882;0;0;0;Retired
03.04.1954;62;Female;Long life deposit;01-0165-D-77793474;0;0;0;Retired
21.06.1937;79;Female;Long life deposit;01-0102-D-77700830;1;0;0;Retired
28.01.1950;67;Male;Long life deposit;01-0165-D-77753988;0;0;0;Retired
15.05.1947;69;Female;Long life deposit;01-0165-D-77742456;0;0;0;Retired
26.02.1942;75;Female;Long life deposit;01-0102-D-77762356;0;0;0;Retired
08.06.1964;52;Female;Long life deposit;01-0102-D-77717356;0;0;0;Workers
28.08.1951;65;Female;Long life deposit;01-0165-D-77755134;1;0;0;Retired
24.11.1951;65;Female;Long life deposit;01-0165-F-5324175;1;0;0;Retired
14.08.1954;62;Male;Long life deposit;01-0165-D-77769273;0;0;0;Retired
09.08.1949;67;Female;Long life deposit;01-0165-D-77746007;0;0;0;Retired
01.08.1951;65;Male;Long life deposit;01-0102-D-77750263;0;0;0;Retired
23.10.1942;74;Female;Long life deposit;01-0102-D-77753446;1;1;0;Retired
20.05.1962;54;Female;Long life deposit;01-0102-D-77786488;0;0;0;Workers
29.04.1961;55;Female;Long life deposit;01-0102-D-77754545;0;0;0;Retired
