answer,theme
алло здравствуйте вчера был вопрос о работе оператора с вашего банка,Перевод на оператора
перевод с расчетного счета,Расчетный счет
нет меня вопрос по поводу вашего на ваши звонков,Вам звонили
узнать ближайший адрес,Адреса офисов и банкоматов
зачисление на счет,Обслуживание карт
валюта продажа,Курсы валют
хотелось бы проконсультироваться с руководством по поводу закрытие расчетного счета юридического лица,Расчетный счет
кредиту,Кредит
здесь действующей оплата по кредиту,Действующий кредит
мне нужен сотрудник соедините пожалуйста,Перевод на оператора
меня интересует я в том году да тоже погасил кредит,Действующий кредит
я справку заказу банка мне прислали а деньги не только как она пойдет или нет мне интересно,Обслуживание вкладов
офис ну как алло,Адреса офисов и банкоматов
с кем мне надо,Карты
а я подключал акциям о телефона интернет сообщение,Акции
алло добрый день я бы хотела,Приветствие
почему не приходит смс что у меня не погашена задолженность как да я внесла деньги еще до две да,Задолженность
этот хотел баланс узнать,Обслуживание карт
расчетный счет юридических лиц,Расчетный счет
мне надо заблокировать карточку,Блокировка карты
открыть вклада,Открыте вклада
открытие счета одобрили,Расчетный счет
номер счета карты хочу узнать,Реквизиты банка
я хочу узнать сумму оплаты по карте,Обслуживание карт
я бы хотела бы узнать у меня код прислали,Обслуживание карт
на карта,Карты
банкомат на ленина шестнадцать не выдал деньги,Не работает банкомат
вопрос по кредиту действующим,Действующий кредит
общение как к получению кредита,Получения кредита
я не появились,Адреса офисов и банкоматов
обслуживание текущую,Обслуживание вкладов
здравствуйте у меня интересует нет что пришла смска с каким то кодом что сообщить нужно банке,Обслуживание карт
меня интересует там какой то смс пришло что я погасил кредит,Действующий кредит
нет не по карте а по счету банке,Карты
соединить с тюменским отделение,Адреса офисов и банкоматов
ленте вы сейчас позвонили на телефон,Вам звонили
насчет кредита хотел проконсультироваться у специалиста,Получения кредита
работа с юридическими лицами,Интернет банк
угу да,Кредит
получение кредита хочу получить кредит,Получения кредита
потребительский кредит интересует,Кредит
обслуживание кредитных карт,Кредитные карты
отделения в туле,Адреса офисов и банкоматов
физические лица соедините меня с физическими лицами,Физические лица
проблема,Карты
хотим закрыть вклад узнать надо ли заказать заранее деньги,Обслуживание вкладов
нам нужен пароль от мобильного банка,Мобильный банк
задолженности по кредиту,Задолженность
филиал,Адреса офисов и банкоматов
где в по кредиту,Кредит
погашение кредита переплаты,Действующий кредит
мне нужно передать код,Обслуживание карт
да я заявку на получение кредита,Получения кредита
узнать в субботу работает банк,Адреса офисов и банкоматов
какой курс как,Курсы валют
я погасила кредит уже,Действующий кредит
как подключить смс информирование на карте,Карты
город доллара,Курс доллара
какой там процент,Процентные ставки
вы можете соединить с сотрудником,Перевод на оператора
вопрос по заработной карте,Карты
какие документы нужно для оформления кредита,Получения кредита
чуть карты,Карты
консультант конце июня,Перевод на оператора
активации интернет банка,Интернет банк
можно ли у вас оформить кредит,Получения кредита
через какой банкомат можно заплатить,Обслуживание карт
доллара продажи,Курс доллара
меня есть уже кредит я хочу по своему кредита проконсультироваться,Получения кредита
сумма кредита,Кредит
забыл пароль три дэ секьюри как восстановить,Интернет банк
мне приходят смски по поводу кредита вот я хотела бы уточнить,Получения кредита
здравствуйте у меня не за,Приветствие
расчетный счет банка,Реквизиты банка
просто на восстановление пароля интернет банк,Интернет банк
оператора дайте,Перевод на оператора
кредит хочу взять и,Получения кредита
хотела бы узнать пополнение кредита,Получения кредита
э действующей кредит и хотел узнать какая сумма осталась,Получения кредита
вклад закрытие вклада,Вклад
ну у нас перевод не проходит,Карты
при с карты,Карты
перевод с карты на карты,Карты
деньги застряли в банкомате,Не работает банкомат
алло здравствуйте скажите пожалуйста вот мне мы перевели деньги на вторую карточку можно как вот мне снять деньги наличные,Карты
данные по кредиту,Кредит
заполнение заявки на на открытие расчетного счета,Расчетный счет
мне пришла смс с кодом вот я хотел узнать что куда можно подойти как узнать подробности,Обслуживание карт
хочу узнать решение по кредиту,Получения кредита
заблокировать карту на карту край,Блокировка карты
я решила сегодня проверить баланс по карте,Обслуживание карт
что то мне платежа в бюджеты,Обслуживание карт
не звонок от вас был только что,Вам звонили
когда можно приехать в банк для оформления кредита,Получения кредита
или по ямало бы правки платежа,Обслуживание карт
восемь десять,Карты
где филиал вашего банка,Адреса офисов и банкоматов
условия карты виза голд максим,Получение карты
меня интересует оплата кредита в другом банке и какая комиссия,Действующий кредит
мне пришло на телефон,Обслуживание карт
сумма банкомат,Адреса офисов и банкоматов
адрес банка волжском,Адреса офисов и банкоматов
да я вас слышу хочу приобрести доллар,Курс доллара
мне нужно подключить интернет банк,Интернет банк
забыл пароль и,Интернет банк
здесь свыше карт,Карты
по действующей карте у меня действующих карта которую не пополняется пенсии,Обслуживание карт
меня интересует что вы мне звонили,Вам звонили
телефон банка чисто пускай двадцать шесть тридцать пять,Мобильный банк
закончился срок действия карты,Получение карты
снять большую сумму наличных денег,Обслуживание карт
вопрос по действующих карта не проходит платежи,Обслуживание карт
хочу узнать месте,Адреса офисов и банкоматов
алло какой то там этот дай мне оператора,Перевод на оператора
снятие вклада,Вклад
я хотела разобраться по кредиту,Получения кредита
я проверила с карточки да я,Карты
режиме в мае была отправлена заявка теле за,Обслуживание карт
отмена покупки возврат денег на карту,Обслуживание карт
выдает курс доллара,Курс доллара
за что код электронный гос какой то а это видимо это робот,Обслуживание карт
отложенный платеж,Обслуживание карт
не прошел не прошла оплата либо для по нарушает правил народного движение семнадцать,Обслуживание карт
как учета звонили из я пока ничего не интересует,Вам звонили
что б меня соединили с операционистом,Перевод на оператора
блокировка карт,Блокировка карты
интернет банк в алло,Интернет банк
алло вы мне звонили я хотела бы узнать по какому поводу пожалуйста перезвоните,Вам звонили
меня интересует открытие вклада,Открыте вклада
обслуживание действующих вклада,Обслуживание вкладов
